Problem,Package,File,Priority,Line,Description,Rule set,Rule
1,com.termux.app,/home/tpmccrary/documents/utep/software_construction_cs4373/report_repos/termux-app/app/src/main/java/com/termux/app/RunCommandService.java,3,60,This statement should have braces,Code Style,ControlStatementBraces
2,com.termux.app,/home/tpmccrary/documents/utep/software_construction_cs4373/report_repos/termux-app/app/src/main/java/com/termux/app/RunCommandService.java,3,96,This statement should have braces,Code Style,ControlStatementBraces
3,com.termux.app,/home/tpmccrary/documents/utep/software_construction_cs4373/report_repos/termux-app/app/src/main/java/com/termux/app/RunCommandService.java,3,197,This statement should have braces,Code Style,ControlStatementBraces
4,com.termux.app,/home/tpmccrary/documents/utep/software_construction_cs4373/report_repos/termux-app/app/src/main/java/com/termux/app/RunCommandService.java,3,249,This statement should have braces,Code Style,ControlStatementBraces
5,com.termux.app,/home/tpmccrary/documents/utep/software_construction_cs4373/report_repos/termux-app/app/src/main/java/com/termux/app/RunCommandService.java,3,264,This statement should have braces,Code Style,ControlStatementBraces
1,com.termux.app,/home/tpmccrary/documents/utep/software_construction_cs4373/report_repos/termux-app/app/src/main/java/com/termux/app/TermuxActivity.java,3,247,This statement should have braces,Code Style,ControlStatementBraces
2,com.termux.app,/home/tpmccrary/documents/utep/software_construction_cs4373/report_repos/termux-app/app/src/main/java/com/termux/app/TermuxActivity.java,3,260,This statement should have braces,Code Style,ControlStatementBraces
3,com.termux.app,/home/tpmccrary/documents/utep/software_construction_cs4373/report_repos/termux-app/app/src/main/java/com/termux/app/TermuxActivity.java,3,265,This statement should have braces,Code Style,ControlStatementBraces
4,com.termux.app,/home/tpmccrary/documents/utep/software_construction_cs4373/report_repos/termux-app/app/src/main/java/com/termux/app/TermuxActivity.java,3,268,This statement should have braces,Code Style,ControlStatementBraces
5,com.termux.app,/home/tpmccrary/documents/utep/software_construction_cs4373/report_repos/termux-app/app/src/main/java/com/termux/app/TermuxActivity.java,3,271,This statement should have braces,Code Style,ControlStatementBraces
6,com.termux.app,/home/tpmccrary/documents/utep/software_construction_cs4373/report_repos/termux-app/app/src/main/java/com/termux/app/TermuxActivity.java,3,282,This statement should have braces,Code Style,ControlStatementBraces
7,com.termux.app,/home/tpmccrary/documents/utep/software_construction_cs4373/report_repos/termux-app/app/src/main/java/com/termux/app/TermuxActivity.java,3,285,This statement should have braces,Code Style,ControlStatementBraces
8,com.termux.app,/home/tpmccrary/documents/utep/software_construction_cs4373/report_repos/termux-app/app/src/main/java/com/termux/app/TermuxActivity.java,3,288,This statement should have braces,Code Style,ControlStatementBraces
9,com.termux.app,/home/tpmccrary/documents/utep/software_construction_cs4373/report_repos/termux-app/app/src/main/java/com/termux/app/TermuxActivity.java,3,299,This statement should have braces,Code Style,ControlStatementBraces
10,com.termux.app,/home/tpmccrary/documents/utep/software_construction_cs4373/report_repos/termux-app/app/src/main/java/com/termux/app/TermuxActivity.java,3,304,This statement should have braces,Code Style,ControlStatementBraces
11,com.termux.app,/home/tpmccrary/documents/utep/software_construction_cs4373/report_repos/termux-app/app/src/main/java/com/termux/app/TermuxActivity.java,3,307,This statement should have braces,Code Style,ControlStatementBraces
12,com.termux.app,/home/tpmccrary/documents/utep/software_construction_cs4373/report_repos/termux-app/app/src/main/java/com/termux/app/TermuxActivity.java,3,321,This statement should have braces,Code Style,ControlStatementBraces
13,com.termux.app,/home/tpmccrary/documents/utep/software_construction_cs4373/report_repos/termux-app/app/src/main/java/com/termux/app/TermuxActivity.java,3,331,Avoid empty catch blocks,Error Prone,EmptyCatchBlock
14,com.termux.app,/home/tpmccrary/documents/utep/software_construction_cs4373/report_repos/termux-app/app/src/main/java/com/termux/app/TermuxActivity.java,3,362,Useless qualified this usage in the same class.,Code Style,UselessQualifiedThis
15,com.termux.app,/home/tpmccrary/documents/utep/software_construction_cs4373/report_repos/termux-app/app/src/main/java/com/termux/app/TermuxActivity.java,3,363,This statement should have braces,Code Style,ControlStatementBraces
16,com.termux.app,/home/tpmccrary/documents/utep/software_construction_cs4373/report_repos/termux-app/app/src/main/java/com/termux/app/TermuxActivity.java,3,371,Avoid empty catch blocks,Error Prone,EmptyCatchBlock
17,com.termux.app,/home/tpmccrary/documents/utep/software_construction_cs4373/report_repos/termux-app/app/src/main/java/com/termux/app/TermuxActivity.java,3,438,This statement should have braces,Code Style,ControlStatementBraces
18,com.termux.app,/home/tpmccrary/documents/utep/software_construction_cs4373/report_repos/termux-app/app/src/main/java/com/termux/app/TermuxActivity.java,3,453,This statement should have braces,Code Style,ControlStatementBraces
19,com.termux.app,/home/tpmccrary/documents/utep/software_construction_cs4373/report_repos/termux-app/app/src/main/java/com/termux/app/TermuxActivity.java,3,456,This statement should have braces,Code Style,ControlStatementBraces
20,com.termux.app,/home/tpmccrary/documents/utep/software_construction_cs4373/report_repos/termux-app/app/src/main/java/com/termux/app/TermuxActivity.java,3,471,This statement should have braces,Code Style,ControlStatementBraces
21,com.termux.app,/home/tpmccrary/documents/utep/software_construction_cs4373/report_repos/termux-app/app/src/main/java/com/termux/app/TermuxActivity.java,3,480,This statement should have braces,Code Style,ControlStatementBraces
22,com.termux.app,/home/tpmccrary/documents/utep/software_construction_cs4373/report_repos/termux-app/app/src/main/java/com/termux/app/TermuxActivity.java,3,488,This statement should have braces,Code Style,ControlStatementBraces
